PERSON ID;VIDEO ID;FRAME ID;COSINE DISTANCE
0005;P1E_S1_C1;00000486;0.4167
0005;P1E_S1_C1;00000487;0.3760
0005;P1E_S1_C1;00000488;0.3301
0005;P1E_S1_C1;00000489;0.3460
0005;P1E_S1_C1;00000490;0.3728
0005;P1E_S1_C1;00000491;0.3325
0005;P1E_S1_C1;00000492;0.3292
0005;P1E_S1_C1;00000493;0.3166
0005;P1E_S1_C1;00000494;0.2995
0005;P1E_S1_C1;00000495;0.2569
0005;P1E_S1_C1;00000496;0.3027
0005;P1E_S1_C1;00000497;0.2817
0005;P1E_S1_C1;00000498;0.2911
0005;P1E_S1_C1;00000499;0.2962
0005;P1E_S1_C1;00000500;0.2298
0005;P1E_S1_C1;00000501;0.2554
0005;P1E_S1_C1;00000502;0.3030
0005;P1E_S1_C1;00000503;0.3077
0005;P1E_S1_C1;00000504;0.2861
0005;P1E_S1_C1;00000505;0.2658
0005;P1E_S1_C1;00000506;0.2785
0005;P1E_S1_C1;00000507;0.2623
0005;P1E_S1_C1;00000508;0.2606
0005;P1E_S1_C1;00000509;0.2918
0005;P1E_S1_C1;00000510;0.2604
0005;P1E_S1_C1;00000511;0.3039
0005;P1E_S1_C1;00000512;0.3146
0005;P1E_S1_C1;00000513;0.2879
0005;P1E_S1_C1;00000514;0.3054
0005;P1E_S1_C1;00000515;0.2777
0005;P1E_S1_C1;00000516;0.2779
0005;P1E_S1_C1;00000517;0.2851
0005;P1E_S1_C1;00000518;0.2767
0005;P1E_S1_C1;00000519;0.2981
0005;P1E_S1_C1;00000520;0.3212
0013;P1E_S1_C1;00000611;0.3809
0013;P1E_S1_C1;00000612;0.3776
0013;P1E_S1_C1;00000613;0.3884
0013;P1E_S1_C1;00000614;0.3654
0013;P1E_S1_C1;00000615;0.3855
0013;P1E_S1_C1;00000616;0.3766
0013;P1E_S1_C1;00000617;0.3900
0013;P1E_S1_C1;00000618;0.3812
0013;P1E_S1_C1;00000619;0.3948
0013;P1E_S1_C1;00000620;0.3471
0013;P1E_S1_C1;00000621;0.3768
0013;P1E_S1_C1;00000622;0.4133
0013;P1E_S1_C1;00000623;0.3509
0013;P1E_S1_C1;00000624;0.3452
0013;P1E_S1_C1;00000625;0.3384
0013;P1E_S1_C1;00000626;0.3434
0013;P1E_S1_C1;00000627;0.3320
0013;P1E_S1_C1;00000628;0.3647
0013;P1E_S1_C1;00000629;0.3354
0013;P1E_S1_C1;00000630;0.3703
0013;P1E_S1_C1;00000631;0.3332
0013;P1E_S1_C1;00000632;0.3314
0013;P1E_S1_C1;00000633;0.3052
0013;P1E_S1_C1;00000634;0.3053
0013;P1E_S1_C1;00000635;0.2509
0013;P1E_S1_C1;00000636;0.2736
0013;P1E_S1_C1;00000637;0.2581
0013;P1E_S1_C1;00000638;0.2636
0013;P1E_S1_C1;00000639;0.2644
0013;P1E_S1_C1;00000640;0.2592
0013;P1E_S1_C1;00000641;0.2635
0013;P1E_S1_C1;00000642;0.2412
0013;P1E_S1_C1;00000643;0.2677
0013;P1E_S1_C1;00000644;0.2264
0013;P1E_S1_C1;00000645;0.2225
0013;P1E_S1_C1;00000646;0.2226
0013;P1E_S1_C1;00000647;0.2077
0013;P1E_S1_C1;00000648;0.2047
0013;P1E_S1_C1;00000649;0.2150
0013;P1E_S1_C1;00000650;0.2216
0013;P1E_S1_C1;00000651;0.2266
0013;P1E_S1_C1;00000652;0.2336
0013;P1E_S1_C1;00000653;0.2280
0013;P1E_S1_C1;00000654;0.2313
0013;P1E_S1_C1;00000655;0.2311
0013;P1E_S1_C1;00000656;0.2338
0013;P1E_S1_C1;00000657;0.2400
0013;P1E_S1_C1;00000658;0.2392
0013;P1E_S1_C1;00000659;0.2296
0013;P1E_S1_C1;00000660;0.2289
0013;P1E_S1_C1;00000661;0.2232
0013;P1E_S1_C1;00000662;0.2171
0013;P1E_S1_C1;00000663;0.2364
0013;P1E_S1_C1;00000664;0.2154
0013;P1E_S1_C1;00000665;0.2219
0013;P1E_S1_C1;00000666;0.2386
0013;P1E_S1_C1;00000667;0.2429
0013;P1E_S1_C1;00000668;0.2324
0013;P1E_S1_C1;00000669;0.2685
0013;P1E_S1_C1;00000670;0.2530
0013;P1E_S1_C1;00000671;0.2844
0015;P1E_S1_C1;00000807;0.6109
0015;P1E_S1_C1;00000808;0.5517
0015;P1E_S1_C1;00000809;0.6170
0015;P1E_S1_C1;00000810;0.6818
0015;P1E_S1_C1;00000811;0.6848
0015;P1E_S1_C1;00000812;0.6245
0015;P1E_S1_C1;00000813;0.6103
0015;P1E_S1_C1;00000814;0.6250
0015;P1E_S1_C1;00000815;0.6647
0015;P1E_S1_C1;00000816;0.6318
0015;P1E_S1_C1;00000817;0.5587
0015;P1E_S1_C1;00000818;0.5296
0015;P1E_S1_C1;00000819;0.5943
0015;P1E_S1_C1;00000820;0.4831
0015;P1E_S1_C1;00000821;0.5857
0015;P1E_S1_C1;00000822;0.4635
0015;P1E_S1_C1;00000823;0.4355
0015;P1E_S1_C1;00000824;0.4041
0015;P1E_S1_C1;00000825;0.3669
0015;P1E_S1_C1;00000826;0.3904
0015;P1E_S1_C1;00000827;0.3763
0015;P1E_S1_C1;00000828;0.3707
0015;P1E_S1_C1;00000829;0.3540
0015;P1E_S1_C1;00000830;0.3782
0015;P1E_S1_C1;00000831;0.3595
0015;P1E_S1_C1;00000832;0.3023
0015;P1E_S1_C1;00000833;0.3068
0015;P1E_S1_C1;00000834;0.3106
0015;P1E_S1_C1;00000835;0.2932
0015;P1E_S1_C1;00000836;0.2959
0015;P1E_S1_C1;00000837;0.2956
0015;P1E_S1_C1;00000838;0.2974
0015;P1E_S1_C1;00000839;0.3052
0015;P1E_S1_C1;00000840;0.3237
0015;P1E_S1_C1;00000841;0.3168
0015;P1E_S1_C1;00000842;0.3332
0015;P1E_S1_C1;00000843;0.3297
0015;P1E_S1_C1;00000844;0.3664
0015;P1E_S1_C1;00000845;0.3445
0015;P1E_S1_C1;00000846;0.3352
0015;P1E_S1_C1;00000847;0.3560
0015;P1E_S1_C1;00000848;0.3540
0015;P1E_S1_C1;00000849;0.3797
0015;P1E_S1_C1;00000850;0.3622
0015;P1E_S1_C1;00000851;0.3416
0015;P1E_S1_C1;00000852;0.4095
0015;P1E_S1_C1;00000853;0.4101
0015;P1E_S1_C1;00000854;0.4319
0015;P1E_S1_C1;00000855;0.4544
0016;P1E_S1_C1;00000978;0.3453
0016;P1E_S1_C1;00000979;0.3193
0016;P1E_S1_C1;00000980;0.3632
0016;P1E_S1_C1;00000981;0.3488
0016;P1E_S1_C1;00000982;0.2984
0016;P1E_S1_C1;00000983;0.2875
0016;P1E_S1_C1;00000984;0.2722
0016;P1E_S1_C1;00000985;0.2654
0016;P1E_S1_C1;00000986;0.2259
0016;P1E_S1_C1;00000987;0.2147
0016;P1E_S1_C1;00000988;0.2025
0016;P1E_S1_C1;00000989;0.1917
0016;P1E_S1_C1;00000990;0.1665
0016;P1E_S1_C1;00000991;0.2028
0016;P1E_S1_C1;00000992;0.1810
0016;P1E_S1_C1;00000993;0.1935
0016;P1E_S1_C1;00000994;0.1709
0016;P1E_S1_C1;00000995;0.1756
0016;P1E_S1_C1;00000996;0.1843
0016;P1E_S1_C1;00000997;0.1562
0016;P1E_S1_C1;00000998;0.1727
0016;P1E_S1_C1;00000999;0.1817
0016;P1E_S1_C1;00001000;0.1640
0016;P1E_S1_C1;00001001;0.1653
0016;P1E_S1_C1;00001002;0.1527
0016;P1E_S1_C1;00001003;0.1663
0016;P1E_S1_C1;00001004;0.1650
0016;P1E_S1_C1;00001005;0.1915
0016;P1E_S1_C1;00001006;0.2207
0016;P1E_S1_C1;00001007;0.2360
