PERSON ID;VIDEO ID;FRAME ID;OTHER PERSON ID;COSINE DISTANCE
0005;P2L_S2_C1.1;00001449;0024;1.0094471722841263
0005;P2L_S2_C1.1;00001450;0024;1.0139710949733853
0005;P2L_S2_C1.1;00001451;0024;1.032665889710188
0005;P2L_S2_C1.1;00001452;0024;1.0598527044057846
0005;P2L_S2_C1.1;00001453;0024;1.057657778263092
0005;P2L_S2_C1.1;00001454;0024;1.0018849743064493
0005;P2L_S2_C1.1;00001455;0024;1.0243260711431503
0005;P2L_S2_C1.1;00001456;0024;1.0249134562909603
0005;P2L_S2_C1.1;00001457;0024;0.997569908387959
0005;P2L_S2_C1.1;00001458;0024;1.0327582471072674
0005;P2L_S2_C1.1;00001459;0024;0.9994117671158165
0005;P2L_S2_C1.1;00001460;0024;1.0423393808305264
0005;P2L_S2_C1.1;00001461;0024;1.014576893299818
0005;P2L_S2_C1.1;00001462;0024;1.0076755918562412
0005;P2L_S2_C1.1;00001463;0024;0.9678369238972664
0005;P2L_S2_C1.1;00001464;0024;1.0436148904263973
0005;P2L_S2_C1.1;00001465;0024;1.0693826898932457
0005;P2L_S2_C1.1;00001466;0024;1.0106515176594257
0005;P2L_S2_C1.1;00001467;0024;0.984554823487997
0005;P2L_S2_C1.1;00001468;0024;1.0507586114108562
0005;P2L_S2_C1.1;00001469;0024;1.0142315775156021
0005;P2L_S2_C1.1;00001470;0024;1.0024329975713044
0005;P2L_S2_C1.1;00001471;0024;1.0127542726695538
0005;P2L_S2_C1.1;00001472;0024;1.0306762903928757
0005;P2L_S2_C1.1;00001473;0024;1.0673809051513672
0005;P2L_S2_C1.1;00001474;0024;1.1034225597977638
0005;P2L_S2_C1.1;00001475;0024;1.0740832462906837
0005;P2L_S2_C1.1;00001476;0024;1.0523418337106705
0005;P2L_S2_C1.1;00001477;0024;1.0586124956607819
0005;P2L_S2_C1.1;00001478;0024;1.017865363508463
0005;P2L_S2_C1.1;00001479;0024;1.042905680835247
0005;P2L_S2_C1.1;00001480;0024;0.9913394991308451
0005;P2L_S2_C1.1;00001481;0024;1.020145371556282
0005;P2L_S2_C1.1;00001482;0024;0.9908068794757128
0005;P2L_S2_C1.1;00001483;0024;0.9876083936542273
0005;P2L_S2_C1.1;00001484;0024;0.9913234887644649
0005;P2L_S2_C1.1;00001485;0024;0.9956662319600582
0005;P2L_S2_C1.1;00001486;0024;0.958858173340559
0005;P2L_S2_C1.1;00001487;0024;1.0232065357267857
0005;P2L_S2_C1.1;00001488;0024;0.9758052006363869
0005;P2L_S2_C1.1;00001489;0024;1.009154704399407
